"Search Keyword","Users","Sessions","Searches"
"follow up ticket on the case 00158007",1,1,"1"
"follow up to 00171909, classnotfoundexception",1,1,"1"
"follow up | arr | jnj | 2940060147565980 | the job failed only once due to sockettimeout triggered by adf",1,1,"1"
"follow up || 00180510 || character missing from the string value",1,1,"1"
"follow up: databricks pvc control plane log4j v1 vuln",1,1,"1"
"follow-up  of sf ticket 00147446",1,1,"1"
"follow-up case for - 00144864",1,1,"1"
"follow-up case of 00124226: mllib persistence fails on rt 10.1 ml",1,1,"1"
"follow-up case..00140794",1,1,"1"
"follow-up for 00137221",1,1,"1"
"follow-up for 00138037",1,1,"1"
"follow-up for 00138795",1,1,"1"
"follow-up for 00142710",1,1,"1"
"follow-up for 00142942 , 00145606",1,1,"1"
"follow-up for 00144952",1,1,"1"
"follow-up for sf # 00143521",1,1,"1"
"follow-up for sf # 00143824",1,1,"1"
"follow-up for sf 00146664",1,1,"1"
"follow-up html injection finding (case number # 00148920)",1,1,"1"
"follow-up of   00143621 and 00180696",1,1,"1"
"follow-up of  sf - 00142662",1,1,"1"
"follow-up of 00143245",1,1,"1"
"follow-up of 00180233",1,1,"1"
"follow-up of sf # 00140194",1,1,"1"
"follow-up of sf : 00143621",1,1,"1"
"follow-up of sf : 00157695",1,1,"1"
"follow-up of sf ticket  00144370",1,1,"1"
"follow-up of sf: 00158271",1,1,"1"
"follow-up on 00135798: job fails when worker nodes on specific sku",1,1,"1"
"follow-up on 00136804: spikes in databricks use during downtimes",1,1,"1"
"follow-up ticket on previous 00140987",1,1,"1"
"follow-up to 00146362 - concerns regarding cost increase due to increased dbfs usage",1,1,"1"
"follow-up to this case 00142921",1,1,"1"
"followup 00143872 (credential passthrough is not working with spark submit jobs",1,1,"1"
"followup case for 00184755",1,1,"1"
"followup of sf ticket 00140328",1,1,"1"
"followup of sf ticket 00141611",1,1,"1"
"followup of sf ticket 00145109",1,1,"1"
"followup of sf ticket 00158517",1,1,"1"
"followup of sf ticket 00161349",1,1,"1"
"followup of sf ticket 00180195",1,1,"1"
"followup of sf ticket 00181478",1,1,"1"
"followup of the sf ticket 00138822",1,1,"1"
"followup on the sf ticket 00141602",1,1,"1"
"followup on ticket #00157745",1,1,"1"
"followup | arr | 2203020060001019 | nomodulefound error",1,1,"1"
"followup | arr | 2204140030000156 | the job in adf pipeline needed to cancel due to taking longer than expected.",1,1,"1"
"for multiple clusters we are recieving the following error - 'unexpected failure while waiting for the cluster to be ready'",1,1,"1"
"forbidden request aws abucket",1,1,"1"
"force cluster to use static ip on aws",1,1,"1"
"force job fail",1,1,"1"
"format",1,1,"1"
"found",1,1,"1"
"found 36 partitions",1,1,"1"
"free coupons",1,1,"1"
"free customer/partner introduction learning",1,1,"1"
"free training for ups",1,1,"1"
"french",1,1,"1"
"french date format",1,1,"1"
"frequent failures on some maven package installation failures on our clusters",1,1,"1"
"from_json: space in column name in schema string literal",1,1,"1"
"ganglia metrics per day basis",1,1,"1"
"ganglia not visible for jobs with graviton instances",1,1,"1"
"ganglia stops working",1,1,"1"
"ganglia ui",1,1,"1"
"ganglia ui issue",1,1,"1"
"ganglia ui on customized clusters",1,1,"1"
"gar for 8241605343500592",1,1,"1"
"gar for https://adb-3018353714729944.4.azuredatabricks.net/",1,1,"1"
"gar for sr 2205200050001297",1,1,"1"
"gar for ws 1958239611621368",1,1,"1"
"gar request for 2205200050001297",1,1,"1"
"gateway time-out error intermittently",1,1,"1"
"gc driver - oom error, same code with same data volume worked fine previously",1,1,"1"
"gc issues",1,1,"1"
"gcp cancel account subscription",1,1,"1"
"gcp credit",1,1,"1"
"gcp dont see sql",1,1,"1"
"gcp error message: compute quota exceeded for in region us-east1: quota: ssd_total_gb, used 0.0 and requested 1000.0 out of 500.0",1,1,"1"
"gcp error message: compute quota exceeded for influential-sky-306802 in region us-east1: quota: ssd_total_gb, used 0.0 and requested 1000.0 out of 500.0",1,1,"1"
"gdm prod pcmdty value change issue",1,1,"1"
"ge",1,1,"1"
"ge fdl: production dbr jobs failing",1,1,"1"
"genie  - 2206170010003172",1,1,"1"
"genie  - databricks schedule job doesn't retry - 2206220040008314",1,1,"1"
"genie  2204220010001158",1,1,"1"
"genie  access request",1,1,"1"
"genie - 2204050030003013",1,1,"1"
"genie - 2204060030003074",1,1,"1"
"genie - 2204130040007875",1,1,"1"
"genie - 2204190040007561",1,1,"1"
"genie - 2204220010001492",1,1,"1"
"genie - 2204260030001766",1,1,"1"
"genie - 2204260040007229 - init scrip failure",1,1,"1"
"genie - 2204280050000709",1,1,"1"
"genie - 2205020040002742",1,1,"1"
"genie - 2205020040005904",1,1,"1"
"genie - 2205030040003055",1,1,"1"
"genie - 2205030040003686",1,1,"1"
"genie - 2205070050000066",1,1,"1"
"genie - 2205090030001856",1,1,"1"
"genie - 2205100010001009",1,1,"1"
"genie - 2205100010003212",1,1,"1"
"genie - 2205100040004746",1,1,"1"
"genie - 2205130050000790",1,1,"1"
"genie - 2205160010003408",1,1,"1"
"genie - 2205160040004484",1,1,"1"
"genie - 2205240040005232",1,1,"1"
"genie - 2205250040007523",1,1,"1"
"genie - 2205300040004457",1,1,"1"
"genie - 2206020050002114",1,1,"1"
"genie - 2206070040006197",1,1,"1"
"genie - 2206140040005681",1,1,"1"
"genie - 2206160040004965 - citrix",1,1,"1"
"genie - 2206240040006635",1,1,"1"
"genie - adls gen2 resource is unavailable from june 4th- 2206060040004687",1,1,"1"
"genie -2206220040007394",1,1,"1"
"genie 2112070040000520 for the 2^oo time",1,1,"1"
"genie 2201280040004720",1,1,"1"
"genie 2202250030001786",1,1,"1"
"genie 2203240050000815",1,1,"1"
"genie 2203300030002890",1,1,"1"
"genie 2203300040007683",1,1,"1"
"genie 2204040030003249",1,1,"1"
"genie 2204050040008227",1,1,"1"
"genie 2204140030000156",1,1,"1"
"genie 2204160040000244",1,1,"1"
"genie 2204180030000764",1,1,"1"
"genie 2204190040004473",1,1,"1"
"genie 2204190040005554",1,1,"1"
"genie 2204190040005619",1,1,"1"
"genie 2204190040007561",1,1,"1"
"genie 2204200030000408",1,1,"1"
"genie 2204210040009652",1,1,"1"
"genie 2204210040009652 | 2",1,1,"1"
"genie 2204260030001644",1,1,"1"
"genie 2204280040000761",1,1,"1"
"genie 2205020040002742",1,1,"1"
"genie 2205030040002817",1,1,"1"
"genie 2205050040007788",1,1,"1"
"genie 2205060030001077",1,1,"1"
"genie 2205110040000799",1,1,"1"
"genie 2205110040011175",1,1,"1"
"genie 2205110050002089",1,1,"1"
"genie 2205120050000556",1,1,"1"
"genie 2205120050001524",1,1,"1"
"genie 2205130010002901",1,1,"1"
"genie 2205130050000121",1,1,"1"
"genie 2205130050000207",1,1,"1"
"genie 2205160030001741",1,1,"1"
"genie 2205160030001890",1,1,"1"
"genie 2205170040004514",1,1,"1"
"genie 2205170040006808",1,1,"1"
"genie 2205180030001625",1,1,"1"
"genie 2205190040007992",1,1,"1"
"genie 2205190050000485",1,1,"1"
"genie 2205230030001720",1,1,"1"
"genie 2205230040003508",1,1,"1"
"genie 2205240040005232",1,1,"1"
"genie 2205240040007193",1,1,"1"
"genie 2205250040007523",1,1,"1"
"genie 2205250060001505",1,1,"1"
"genie 2205260030001963",1,1,"1"
"genie 2205270030001115",1,1,"1"
"genie 2206010060001610",1,1,"1"
"genie 2206020050001074",1,1,"1"
"genie 2206020060001738",1,1,"1"
"genie 2206030030000673",1,1,"1"
"genie 2206030050001433",1,1,"1"
"genie 2206060040005065",1,1,"1"
"genie 2206060050001782",1,1,"1"
"genie 2206070030001626",1,1,"1"
"genie 2206070040006772",1,1,"1"
"genie 2206080030001381",1,1,"1"
"genie 2206090030001603",1,1,"1"
"genie 2206090030002273",1,1,"1"
"genie 2206100030001320",1,1,"1"
"genie 2206130050000159",1,1,"1"
"genie 2206130050001484",1,1,"1"
"genie 2206140050000745",1,1,"1"
"genie 2206170010004570",1,1,"1"
"genie 2206170030001661",1,1,"1"
"genie 2206200030001533",1,1,"1"
"genie 2206200030001533 ws 5986108424438021",1,1,"1"
"genie 2206200030001814",1,1,"1"
"genie 2206200050000186",1,1,"1"
"genie 2206220030001652",1,1,"1"
"genie 2206230030000970",1,1,"1"
"genie 2206270030001668",1,1,"1"
"genie 2206280030001728",1,1,"1"
"genie 2206300050001234 hsbc",1,1,"1"
"genie 2650234915343663",1,1,"1"
"genie 2940060147565980",1,1,"1"
"genie 808838112345377",1,1,"1"
"genie : 2204050040009446 -  databricks performance issues in preprod adls account",1,1,"1"
"genie : 2204110040008513-   unkown cluster error causing cluster shutdown (node_lost)",1,1,"1"
"genie : 2205030040006687 -  issue with running databricks notebook",1,1,"1"
"genie : 2205180040008310 -  invalid fs.azure.account.key error - while trying to save data to adls container from databricks",1,1,"1"
"genie : 2206060010002468 -  cluster cannot start",1,1,"1"
"genie : 2206080030002199 -  the cluster is not able to autoscale as per requirment",1,1,"1"
"genie : 2206150040008057 - i am writing a piece of code which can enable direct access via sas token rather than using adls key. this is for automated job clusters",1,1,"1"
"genie : 2206160040007720 - databricks - driver is up but is not responsive, likely due to gc",1,1,"1"
"genie : databricks production job has been failed multiple times- 2204060040006975",1,1,"1"
"genie : intermittent timeout on spark ui and slowness on highconcurrency cluster- 2204120040026531",1,1,"1"
"genie acces",1,1,"1"
"genie acces request",1,1,"1"
"genie access  - 5539637243235386",1,1,"1"
"genie access - 2203140030002364",1,1,"1"
"genie access - 2204120050001120",1,1,"1"
"genie access - 2206140050002240",1,1,"1"
"genie access - sr  2205130030001214",1,1,"1"
"genie access - sr 1420256201526416",1,1,"1"
"genie access - sr 2203310030003651",1,1,"1"
"genie access - sr 2204060030000215",1,1,"1"
"genie access - sr 2204070010002917",1,1,"1"
"genie access - sr 2204100040000077",1,1,"1"
"genie access - sr 2204100050000057",1,1,"1"
"genie access - sr 2204110030000414",1,1,"1"
"genie access - sr 2204120030002012",1,1,"1"
"genie access - sr 2204130040012512",1,1,"1"
"genie access - sr 2204150060000342",1,1,"1"
"genie access - sr 2204180030001121",1,1,"1"
"genie access - sr 2204240060000475",1,1,"1"
"genie access - sr 2205040030001061",1,1,"1"
"genie access - sr 2205050010002241",1,1,"1"
"genie access - sr 2205130030001214",1,1,"1"
"genie access - sr 2205190030001704",1,1,"1"
"genie access - sr 2205230030001094",1,1,"1"
"genie access - sr 2206060030001699",1,1,"1"
"genie access - sr 2206070030000078",1,1,"1"
"genie access - sr 2206070030001700",1,1,"1"
"genie access - sr 2206070030001746",1,1,"1"
"genie access - sr 2206160030000065",1,1,"1"
"genie access - sr 2206200050001869",1,1,"1"
"genie access - sr 2206220010003258",1,1,"1"
"genie access - sr 2206220040008856",1,1,"1"
"genie access - sr 2206270030001495",1,1,"1"
"genie access [2206070050001240]",1,1,"1"
"genie access [2206160050000947]",1,1,"1"
"genie access [2206160050001326]",1,1,"1"
"genie access [2206200050001262]",1,1,"1"
"genie access [2206200050001383]",1,1,"1"
"genie access [2206220050000368]",1,1,"1"
"genie access [2206220050001608]",1,1,"1"
"genie access [2206230050000710]",1,1,"1"
"genie access [2206240050000586]",1,1,"1"
"genie access [2206240050001664]",1,1,"1"
"genie access [2206270050001412]",1,1,"1"
"genie access [2206290050000661]",1,1,"1"
"genie access for 2204270060000414",1,1,"1"
"genie access for customers workspace",1,1,"1"
"genie access request  - 2203170050002403",1,1,"1"
"genie access request #2206070060000496",1,1,"1"
"genie access request - 2203140030002364",1,1,"1"
"genie access request || (ws-1123585223302814)",1,1,"1"
"genie access sr: 2204270060000414",1,1,"1"
"genie access | adf pipeline failing due to error - remote rpc client disassociated. likely due to containers exceeding thresholds, or network issues",1,1,"1"
"genie access | adf to adb call failed and eror shows library not installed",1,1,"1"
"genie access | arr sr # 2204060030001258",1,1,"1"
"genie access | arr sr#  2203280040004004",1,1,"1"
"genie access | arr sr#  2205060030001100",1,1,"1"
"genie access | arr sr#  2205170030001300",1,1,"1"
"genie access | arr sr# 2203110030000770",1,1,"1"
"genie access | arr sr# 2203110030000770001",1,1,"1"
"genie access | arr sr# 2203280040004004",1,1,"1"
"genie access | arr sr# 2203290050000172",1,1,"1"
"genie access | arr sr# 2204040030002134",1,1,"1"
"genie access | arr sr# 2204070050000512",1,1,"1"
"genie access | arr sr# 2204080010000649",1,1,"1"
"genie access | arr sr# 2204120030000623",1,1,"1"
"genie access | arr sr# 2204190030001144",1,1,"1"
"genie access | arr sr# 2204270030002067",1,1,"1"
"genie access | arr sr# 2205050030001519",1,1,"1"
"genie access | arr sr# 2205110030000395",1,1,"1"
"genie access | arr sr# 2205110030001742",1,1,"1"
"genie access | arr sr# 2205130030001130",1,1,"1"
"genie access | arr sr# 2205170030001630",1,1,"1"
"genie access | arr sr# 2205260040002506",1,1,"1"
"genie access | arr sr# 2206020060001871",1,1,"1"
"genie access | arr sr# 2206030030000143",1,1,"1"
"genie access | arr sr# 2206110030000120",1,1,"1"
"genie access | arr sr# 2206160040003753",1,1,"1"
"genie access | databricks spark ui show completed jobs as active jobs",1,1,"1"
"genie access | delta table is getting deleted after alter statment",1,1,"1"
"genie access | duplication during delta lake merge",1,1,"1"
"genie access | impact on vacuum",1,1,"1"
"genie access | init script failure",1,1,"1"
"genie access | job cluster error: spark_image_download_failure",1,1,"1"
"genie access | job running for long",1,1,"1"
"genie access | jobs failing",1,1,"1"
"genie access | kafka api",1,1,"1"
"genie access | not able to connect to cosmos db from data bricks",1,1,"1"
"genie access | we are not able to query _dh_ja_pos_2.pos_day_fct in the ama kpi databricks",1,1,"1"
"genie access | we are observing access issue to adls from databricks",1,1,"1"
"genie access | when trying to copy data from adls gen2 to sql dwh(azure synapse) we get the error with max char length issue",1,1,"1"
"genie access| arr sr# 2204070050000512",1,1,"1"
"genie acess",1,1,"1"
"genie authentication",1,1,"1"
"genie case",1,1,"1"
"genie certificate",1,1,"1"
"genie cluster",1,1,"1"
"genie cluster startup",1,1,"1"
"genie delta",1,1,"1"
"genie fair scheduling pool 2",1,1,"1"
"genie for #2203100050002614",1,1,"1"
"genie for #2203150050001762",1,1,"1"
"genie for #2203210030001488.0",1,1,"1"
"genie for #2203280050002083.0",1,1,"1"
"genie for #2204050040010223.0",1,1,"1"
"genie for #2204080050000427",1,1,"1"
"genie for #2204130050001006",1,1,"1"
"genie for #2204200060002689",1,1,"1"
"genie for #2204210050003652",1,1,"1"
"genie for #2204220050001720",1,1,"1"
"genie for #2204250040003356",1,1,"1"
"genie for #2204270050000851",1,1,"1"
"genie for #2205040030001111",1,1,"1"
"genie for #2205040050001376",1,1,"1"
"genie for #2205050050002191",1,1,"1"
"genie for #2205110050001817",1,1,"1"
"genie for #2205120050001043",1,1,"1"
"genie for #2205170040008648",1,1,"1"
"genie for #2205170050001191",1,1,"1"
"genie for #2205180050001027",1,1,"1"
"genie for #2205180050001491",1,1,"1"
"genie for #2205190050000006",1,1,"1"
"genie for #2205200050000126",1,1,"1"
"genie for #2205210050000185",1,1,"1"
"genie for #2205250050000600",1,1,"1"
"genie for #2205310030001555",1,1,"1"
"genie for #2205310050000310",1,1,"1"
"genie for #2206010050000",1,1,"1"
"genie for #2206010050000301",1,1,"1"
"genie for #2206010050001563",1,1,"1"
"genie for #2206070040009328",1,1,"1"
"genie for #2206070050002555",1,1,"1"
"genie for #2206090030001956",1,1,"1"
"genie for #2206090050002180",1,1,"1"
"genie for #2206140050001621",1,1,"1"
"genie for #2206160050001080",1,1,"1"
"genie for #2206210050001768",1,1,"1"
"genie for #2206230050002286",1,1,"1"
"genie for #2206240050000619",1,1,"1"
"genie for #2206240050001473",1,1,"1"
"genie for #case2205300030001172",1,1,"1"
"genie for #edqwe",1,1,"1"
"genie for 2202080060002931",1,1,"1"
"genie for 2203030050000273",1,1,"1"
"genie for 2204060030001864",1,1,"1"
"genie for 2204120030001216",1,1,"1"
"genie for 2204200050002006",1,1,"1"
"genie for 2204270050000937",1,1,"1"
"genie for 2204280050002289",1,1,"1"
"genie for 2204290050001087",1,1,"1"
"genie for 2205110050000419",1,1,"1"
"genie for 2205120050002131",1,1,"1"
"genie for 2205180010001040",1,1,"1"
"genie for 2205200040003007",1,1,"1"
"genie for 2205230050000756",1,1,"1"
"genie for 2205230050001967002",1,1,"1"
"genie for 2205260030001267",1,1,"1"
"genie for 2206030030000842",1,1,"1"
"genie for 2206060030001699",1,1,"1"
"genie for 2206060030001835",1,1,"1"
"genie for 2206150030002085",1,1,"1"
"genie for 2206220040005881",1,1,"1"
"genie for 2206220050000790",1,1,"1"
"genie for 2206230030000787",1,1,"1"
"genie for 2206300040004630",1,1,"1"
"genie for 2770540884322692",1,1,"1"
"genie for 2873683765356306",1,1,"1"
"genie for 341265499768916",1,1,"1"
"genie for 512531045191703",1,1,"1"
"genie for 565094429650515",1,1,"1"
"genie for 6496992717833072",1,1,"1"
"genie for job cluster error using credential passthrough",1,1,"1"
"genie for library installation issue",1,1,"1"
"genie for notebook error",1,1,"1"
"genie fro 2873683765356306",1,1,"1"
"genie google",1,1,"1"
"genie init",1,1,"1"
"genie permission",1,1,"1"
"genie postgres",1,1,"1"
"genie python",1,1,"1"
"genie req bit filter errror",1,1,"1"
"genie request job slow runtime",1,1,"1"
"genie spark command",1,1,"1"
"genie tk",1,1,"1"
"genie- 2204080030001854",1,1,"1"
"genie- cluster upsize completed but 10 containers could not be added.reason:azure quota exceeded exception",1,1,"1"
"genie- multiple clusters/jobs are not starting or installing libraries",1,1,"1"
"genie- not able to create and start azure databricks cluster",1,1,"1"
"genie- powerbi failing to connect to databricks table and fetch data",1,1,"1"
"genie- processos de cluster interativo travaram durante a execução (processo zumbi)",1,1,"1"
"genie- smtp server configuration to our customized app code",1,1,"1"
"genie- workspace_does_not_exist_error when launching databricks workspace",1,1,"1"
"genie-2203300030000354",1,1,"1"
"genie-2203300030003094",1,1,"1"
"genie-2204010030000411",1,1,"1"
"genie-2204080030000101",1,1,"1"
"genie-2204080030000176",1,1,"1"
"genie-2204130030000625",1,1,"1"
"genie-2204140010001013",1,1,"1"
"genie-2204180030000680",1,1,"1"
"genie-2204190040003814",1,1,"1"
"genie-2204190040008032",1,1,"1"
"genie-2204200060002643",1,1,"1"
"genie-2204210060000096001",1,1,"1"
"genie-2204220050000056",1,1,"1"
"genie-2204260030000800",1,1,"1"
"genie-2204260050001841",1,1,"1"
"genie-2205050030000311",1,1,"1"
"genie-2205060030000515",1,1,"1"
"genie-2205130050001870",1,1,"1"
"genie-2205130060000046",1,1,"1"
"genie-2205160030001560",1,1,"1"
"genie-2205170030000037",1,1,"1"
"genie-2205170030000259",1,1,"1"
"genie-2205190060000328",1,1,"1"
"genie-2205240030000330",1,1,"1"
"genie-2205250030000144",1,1,"1"
"genie-2205250030002103",1,1,"1"
"genie-2205250040009377",1,1,"1"
"genie-2205260040000787",1,1,"1"
"genie-2205260060000312",1,1,"1"
"genie-2205290030000057",1,1,"1"
"genie-2205310030001555",1,1,"1"
"genie-2206010030000423",1,1,"1"
"genie-2206030030000534",1,1,"1"
"genie-2206080030001198",1,1,"1"
"genie-2206080040007574",1,1,"1"
"genie-2206090040005436",1,1,"1"
"genie-2206090060000221",1,1,"1"
"genie-2206130040006805",1,1,"1"
"genie-2206140060000804",1,1,"1"
"genie-2206160010002801",1,1,"1"
"genie-2206170010003172",1,1,"1"
"genie-2206170010004397",1,1,"1"
"genie-2206170040000268",1,1,"1"
"genie-2206170040003494",1,1,"1"
"genie-2206200030001369",1,1,"1"
"genie-2206200040000164",1,1,"1"
"genie-2206210040006589",1,1,"1"
"genie-2206210060000335",1,1,"1"
"genie-2206230040006088",1,1,"1"
"genie-2206270040006028",1,1,"1"
"genie-2206270060000664",1,1,"1"
"genie-2206280040006423",1,1,"1"
"genie-2206290030000108",1,1,"1"
"genie-2206290060000801",1,1,"1"
"genie-activating ip filtering blocks the launch of jobs and apis",1,1,"1"
"genie-an error occurred while calling z:org.apache.spark.api.python.pythonrdd.collectandserve",1,1,"1"
"genie-azure quota exceeded exception",1,1,"1"
"genie-azure synapse analytics failed to execute the jdbc query produced by the connector",1,1,"1"
"genie-cluster no longer turns on.",1,1,"1"
"genie-cluster terminated.reason:cloud provider launch failure. azure error code: skunotavailable",1,1,"1"
"genie-com.databricks.spark.sqldw",1,1,"1"
"genie-com.microsoft.sqlserver.jdbc.sqlserverexception ... ssl error: 'unexpected rethrowing'",1,1,"1"
"genie-connectivity between azure databricks and storage account under private endpoint",1,1,"1"
"genie-customer is seeing duplicate records after a running data bricks activity",1,1,"1"
"genie-databricks having trouble connection to blob",1,1,"1"
"genie-for-benz",1,1,"1"
"genie-getting error after turning on storage account firewall in databricks",1,1,"1"
"genie-internal server error on adf to databricks",1,1,"1"
"genie-job failed after 5 hours with timeout",1,1,"1"
"genie-lot of latency in apllying the changes",1,1,"1"
"genie-myownworkspace",1,1,"1"
"genie-not able to launch pipeline cluster",1,1,"1"
"genie-not using a valid access token. update the access token for the linked service",1,1,"1"
"genie-numero de clusters no endpoint do databricks sql",1,1,"1"
"genie-parsing rdd with read_csv behavior changed between 7.3lts and 10.4lts",1,1,"1"
"genie-pipeline failed on running notebook",1,1,"1"
"genie-problem in all process in databricks",1,1,"1"
"genie-repo error",1,1,"1"
"genie-sevc-2205240040008340-unable to select the log file from the web services",1,1,"1"
"genie-this amount may not have enough cpu cores - cannot create virtual machines for standard_e80ids_v4.",1,1,"1"
"genie-unable to access blobs through a storage account firewall",1,1,"1"
"genie-unable to connect/authorize to adls",1,1,"1"
"genie-unable to run begin transaction via synapse spark connector",1,1,"1"
"genie-virtual machines failing to launch",1,1,"1"
"genie-workspace_does_not_exist_error when launching databricks workspace",1,1,"1"
"genie:  2205020040004681",1,1,"1"
"genie:  2205170040008994",1,1,"1"
"genie:  2205300010001729 || soncor|| cluster failure and pipeline failure",1,1,"1"
"genie:  2206010040008599 || pepsico || sev a",1,1,"1"
"genie: 2203300040007683",1,1,"1"
"genie: 2205190010002610 || american airlines || databricks notebook is failing after instal",1,1,"1"
"genie: 2205230040008078 || workspace",1,1,"1"
"genie: 2205270050001268 || abn amro || cluster performing very slowly then as usual",1,1,"1"
"genie: 2206010040008249 ||samsclub || databricks reponse is very slow/delayed",1,1,"1"
"genie: 2206080040006562",1,1,"1"
"genie: aa | 2203220040007166 | prod workspace",1,1,"1"
"genie: aa || 2204190040006761 || invalid parameter valur - cluster id",1,1,"1"
"genie: aa || 2205200010002365 || job failed because of cluster launch failure",1,1,"1"
"genie: aa || 2650234915343663 || cluster terminated when running job",1,1,"1"
"genie: adobe | 2204110040006238 | cannot find fairscheduler file in dbr10.4",1,1,"1"
"genie: adobe || 2206150010003321 || databricks job api 2.1 is  not giving expected results",1,1,"1"
"genie: adobe||  2206150010003321 || restapi",1,1,"1"
"genie: aholddelhaize.com || 2206160060001800 || quota issue",1,1,"1"
"genie: air-canada || collab",1,1,"1"
"genie: aircanada || 2205040030000256 || adf failures with aircanada",1,1,"1"
"genie: aircanada || 2205260040008301 || unable to write in dev storage",1,1,"1"
"genie: anheuser-busch.com || 2205260030002078 || dbr 10.4 - cannot create views",1,1,"1"
"genie: arr: need to define the cause,  high cpu & ram on 1 x node : sr 2206030030000673",1,1,"1"
"genie: ashleyfurniture || 2204270040007342 || repo issue",1,1,"1"
"genie: at&t |",1,1,"1"
"genie: at&t ||  2204150040004192 ||  notebook failing in job cluster, working fine in hc cluster",1,1,"1"
"genie: at&t || 2206220040007241 || streaming job running into out of memory",1,1,"1"
"genie: blackbaud || 2206100040006706 || vm workers having http issues",1,1,"1"
"genie: boeing || 2205040040007574 || control plane exception, getrunbook faliure",1,1,"1"
"genie: boeing || 2205270040005511 || dev setup for repro",1,1,"1"
"genie: boeing|| 2205270040005511 || json file failure",1,1,"1"
"genie: capitalgeoup || 2204140040008817 || databricks job getting hung",1,1,"1"
"genie: cluster not starting",1,1,"1"
"genie: codelco || 2205190040007992 || postgres sql ssl issue",1,1,"1"
"genie: coles|| 2205090030000973 || sev a",1,1,"1"
"genie: credit suisse || 2205120040006840 || connection timedout with storage account.",1,1,"1"
"genie: cvs || 2205240040006373 || cluster metastore setup",1,1,"1"
"genie: geico || 2204250040005555 || intermittent file not found errors when accessing adls through dbfs mounts",1,1,"1"
"genie: geico || 2204260040005094 || mount logging",1,1,"1"
"genie: h&r block || 2203110040006344 || testworkspace",1,1,"1"
"genie: h&r clock || 2203110040006344 || cosmosdb failed to authenticate the request.",1,1,"1"
"genie: hershey || 2206020040006837 || initi script",1,1,"1"
"genie: inditex || 2206150020002427 || cannot fetch secrets referred in the spark configuration",1,1,"1"
"genie: j&j || 2186760551155912 || job failure",1,1,"1"
"genie: j&j || 2206090040006663 || jobs taking unusal loger time and timeing out",1,1,"1"
"genie: limeade|  2204280010002953 || job fails after running for an hour",1,1,"1"
"genie: malformed records job failure",1,1,"1"
"genie: mars || 2205170040006218 || autoscaling issue",1,1,"1"
"genie: mgm || 2203160010002405 || servers performance is reduced to 30% instead of 100% at production",1,1,"1"
"genie: molinahealthcare ||  2205230040008078",1,1,"1"
"genie: morgan stanley || 2205020040005214",1,1,"1"
"genie: nfcu || 2203010040008530 || aad failure",1,1,"1"
"genie: p&g || 2206170030001895 || spark exception received from driver. driver down",1,1,"1"
"genie: pickel error",1,1,"1"
"genie: safeway ||  2205310010002798 || sev a - cluster start delay",1,1,"1"
"genie: safeway || 2204220010001571 || log4j enable debug",1,1,"1"
"genie: safeway || 2204250040008262 || connecting ml repository",1,1,"1"
"genie: safeway || 2204250040008262 || databricks job failed during connecting ml registry",1,1,"1"
"genie: safeway || 2205120010003782 || sql connectivity issue",1,1,"1"
"genie: safeway|| 2206210040007277",1,1,"1"
"genie: sev a - tata",1,1,"1"
"genie: shell db limit 800",1,1,"1"
"genie: shell storage token",1,1,"1"
"genie: slow cell run",1,1,"1"
"genie: t-mobile || 2204010040006385 || rca for cluster terminated due to self bootstrap failure",1,1,"1"
"genie: t-mobile||  2204150010002234 || gitlab repo not found",1,1,"1"
"genie: ubs || 2204080040009045 || scope issue",1,1,"1"
"genie: ubs || 2205050040001186 || connection time out while connecting with spark",1,1,"1"
"genie: uhg || 204200040003831 || dbutils issue",1,1,"1"
"genie: uhg || 2204280040007886 || spark_error(success)",1,1,"1"
"genie: why does resultset take 14+ seconds to filter 1.4m records: sr2206010040005495",1,1,"1"
"genie:2205270010001059",1,1,"1"
"genie:aa || 2204060010002628 || march 13th airflow trigger failure",1,1,"1"
"genie:arr: databricks notebook running failure",1,1,"1"
"genie:arr: hit error (file not found) using high concurrency cluster, but works fine with pass through cluster:sr 2203280030003944",1,1,"1"
"genie:arr: identity column not unique :sr 2205250040005673",1,1,"1"
"genie:arr: issue while connecting to azure sql using pyodbc driver can't open lib 'odbc driver 17 for sql server' : file not found (0):sr2205060040003815",1,1,"1"
"genie:arr: jobs failure: 2205160010002619",1,1,"1"
"genie:arr: library installation failure:sr2206060010001648",1,1,"1"
"genie:arr: query delta table returns no result : sr206080010000484",1,1,"1"
"genie:arr: sr2206020060002128",1,1,"1"
"genie:arr:2202250040005364 | databricks parallel execution performance issues - dts pdw pilot",1,1,"1"
"genie:arr:cluster takes long time to spin up:sr2204140040006002",1,1,"1"
"genie:arr:cluster unable to startup:sr2204130040009267",1,1,"1"
"genie:arr:collab:databricks notebook is not running as it says another notebook is in progress.: sr2204210060006686001",1,1,"1"
"genie:arr:connectivity to sql dw is slow:sr2204280040006632",1,1,"1"
"genie:arr:databricks trying to connect on-prem oracle server: sr2206240040005619",1,1,"1"
"genie:arr:job failed on dbr 10.4 lts",1,1,"1"
"genie:arr:jobs are failing:sr2204070040000867 | cummins | b",1,1,"1"
"genie:arr:mlflow model serving api error:sr2206170010005234",1,1,"1"
"genie:arr:mlflow: sr2206100040004911",1,1,"1"
